FragmentID, NarrID, EntryDate, ServerEntryDate,T0Example-Sugar,T0Example-TeaLeaves,T0Example-Milk,T0Example-X,T0Example-Y,T0Example-NA,T3UseOfCSWillDependOn-Time,T3UseOfCSWillDependOn-Leadership,T3UseOfCSWillDependOn-Resources,T3UseOfCSWillDependOn-X,T3UseOfCSWillDependOn-Y,T3UseOfCSWillDependOn-NA,T1CSHelpedTo-ObtainKnowledge,T1CSHelpedTo-ImproveSkills,T1CSHelpedTo-ChangeAttitude,T1CSHelpedTo-X,T1CSHelpedTo-Y,T1CSHelpedTo-NA,T2CSupportWas-Timely,T2CSupportWas-Clear,T2CSupportWas-Relevant,T2CSupportWas-X,T2CSupportWas-Y,T2CSupportWas-NA,Modality,Q1Feeling,Q2CSFocus,Q3CSTopic,Q4ModeOfDelivery,Q3dModeOfDelivery,Q3cModeOfDelivery,Q3bModeOfDelivery,Q5aExpectations,Q6Project,Q6bProjectName,Q6bProjectNameOther,DQ3Institution,DQ2Role,DQ2Other,DQ5Country,DQ4Region,DQ6Gender,DQ7Age,Experience,KeyWords,Q5bExpectation,Audio,Photo,S1Attitudes-Humble-XRight,S1Attitudes-Humble-YTop,S1Attitudes-Flexible-XRight,S1Attitudes-Flexible-YTop,S1Attitudes-Empowered-XRight,S1Attitudes-Empowered-YTop,S1Attitudes-Creative-XRight,S1Attitudes-Creative-YTop,S1Attitudes-Confident-XRight,S1Attitudes-Confident-YTop,S1Attitudes-Self-reliant-XRight,S1Attitudes-Self-reliant-YTop,S1Attitudes_NA,S2Principles-Trust-XRight,S2Principles-Trust-YTop,S2Principles-Shared vision-XRight,S2Principles-Shared vision-YTop,S2Principles-Mutual interests-XRight,S2Principles-Mutual interests-YTop,S2Principles-Roles and responsibilities-XRight,S2Principles-Roles and responsibilities-YTop,S2Principles-Respect-XRight,S2Principles-Respect-YTop,S2Principles-Transparency-XRight,S2Principles-Transparency-YTop,S2Principles_NA,ApplicationName,Latitude,Longitude,Language
354776b0-aded-4ef9-a18c-addb0fbbdb42,143,7/14/2017,14:00.1,6.643262,85.41041,7.946328,0.5065153,0.7396541,,44.71338,10.260117,45.026505,0.50156564,0.088852614,,29.47854,39.739883,30.781576,0.5065152,0.34414738,,42.841278,11.994217,45.1645,0.5116161,0.10386994,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Programmatic capacity,Capacity Strengthening of Partners (Programmatic capacity),Face to face,As a single event,Formal,Group,No,No,,,Nonprofit institution,Manager,,Senegal,West Africa,Male,36-60,I would to highlight here one experience of internal and external coordination challenge in Caritas partners capacity strengthening in emergency preparedness and response (1) and in institutional development (2). in 2016 we partner with caritas Cape Verde to response to Virus Zika. One of the need express a need for training of trainers in emergency preparedness and response and more broadly in capacity building in that sector. It has difficult to find the fund at the CP and the Regional level. And finally we agree to move to combine several Caritas offices if this is an expressed need from multiple Caritae ( e.g. GB Senegal CV) and investing in this as a real means to increase local caritas capacity to respond; training neighboring caritas offices could also create a peer network and allow not only for experience sharing and learning but possible south-south solidarity and support when an emergency strikes. After one year discussion nothing happened. At the same time ML is providing support for EPR capacity building to Africa Caritas through HRD support. The same situation is noticeable with Caritas Internationalis /Caritas Africa DIRO (institutional development) to some African Caritas while we ML are building our PCS strategy tools and support to the same stakeholders. My concern here is how better coordination could help in carrying out highest outcomes for partners and beneficiaries.,Coordination planning budgeting,Better internal and external coordination could bring higher outcomes,,,0.19304556,0.700037,0.46642685,0.70385176,0.3297362,0.7075185,0.5935252,0.7111481,0.08033573,0.7001481,,,,,,,,,,,,,,,,1,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0; CMNTDFJS; F9J; InfoPath.3; rv:11.0) like Gecko,,,en
39512933-8349-4081-a432-c93538b870fc,176,8/24/2017,33:27.4,2.9810157,51.300587,45.7184,0.7136869,0.44426307,,36.81941,51.30058,11.880012,0.37530303,0.444263,,55.736904,31.6474,12.615694,0.28439394,0.27406645,,51.130146,16.6185,32.251358,0.40560606,0.14391617,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Organisational capacity,Agriculture (Programmatic capacity),Face to face,As a continuous event,Formal,Group,Yes,No,M-E-A-L,,Nonprofit institution,Technical expert,,Madagascar,Southern Africa,Male,36-60,natural resources management was improved,Natural resources management,helpfull,,,0.6606715,0.5592593,0.68705034,0.35944444,0.5455636,0.44085193,0.49520382,0.6222222,0.4088729,0.52237034,0.42805755,0.3593704,,0.7182254,0.47411108,0.5767386,0.3668148,0.6270983,0.5482222,0.44244605,0.3629629,0.48081535,0.551963,0.3681055,0.4223333,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0; CMNTDFJS; F9J; InfoPath.3; rv:11.0) like Gecko,,,en
a3aeedc5-07b8-4584-ba32-b637b07819db,144,7/14/2017,37:37.1,8.643666,82.41279,8.94354,0.50149935,0.71369475,,33.70533,35.31977,30.974901,0.48634785,0.3058692,,46.225883,44.622093,9.152021,0.3146307,0.3864273,,30.951044,38.808136,30.240818,0.49644887,0.33607846,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Organisational capacity,Capacity Strengthening of Partners (Programmatic capacity),Face to face,As a single event,Formal,Group,Yes,Yes,ML Internal capacity strengthening,,Nonprofit institution,Manager,,Lebanon,Europe Middle East Central Asia,Female,19-35,The experience was very interesting during these first two days as it allowed us to share experiences with so many colleagues from different CPs and regions. It also allowed us to systematize attitudes which we were doing and practicing as common sense on a daily basis with our partners. Power dimensions were particularly interesting. I felt however that this could be done in a shorter time or in a way that could have enabled us to pass this information to the staff we manage (ToT).,knowledge sharing experiences building on successes recognizing challenges,It is too soon to judge but it was a good introduction that can be further adapted,,,0.93405277,0.7074074,0.47601917,0.7148148,0.7038369,0.71111107,0.5935252,0.41111112,0.73021585,0.39999998,0.47122303,0.4074074,,0.7709832,0.6888889,0.91247004,0.7037037,0.91966426,0.49259257,0.6990408,0.46666664,0.80455637,0.45555556,0.73021585,0.29259259,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/59.0.3071.115 Safari/537.36,,,en
e464385f-5cf5-43c3-832c-40ef843c3b67,163,7/17/2017,05:49.5,19.87363,58.121384,22.004988,0.5106568,0.5033312,,75.25988,12.803481,11.936642,0.18338382,0.11087816,,35.885235,22.057816,42.056953,0.5308586,0.19102067,,17.51657,41.01735,41.466084,0.6197476,0.3552102,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Programmatic capacity,Capacity Strengthening of Partners (Programmatic capacity),Face to face,As a single event,Formal,Group,Yes,Yes,ML Internal capacity strengthening,,Nonprofit institution,Technical expert,,Other,USA,Male,36-60,Identifying the need to be more intentional when applying partnership principles in my work,Intentionality empathy direction,It reinforces a good practice of being intentional in working with partners and becoming aware of it,,,0.9167866,0.37707406,,,,,,,0.9167626,0.6112222,0.83045566,0.49862963,,,,0.8419424,0.4452963,,,0.93021584,0.6674074,0.94172657,0.30311108,,,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; CMNTDFJS; rv:11.0) like Gecko,,,en
0d31c331-a022-448e-9184-47c05fa5e47c,145,7/14/2017,29:32.5,2.0310228,75.43605,22.532928,0.6025095,0.65327615,,7.7980027,56.831394,35.3706,0.637863,0.49215987,,32.589523,44.622093,22.788382,0.4509943,0.3864273,,29.283201,41.13372,29.583076,0.50149935,0.356218,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Organisational capacity,Capacity Strengthening of Partners (Programmatic capacity),Face to face,As a continuous event,Formal,Group,Yes,Yes,ML Internal capacity strengthening,,Nonprofit institution,Other,,India,East and South Asia,Female,36-60,This was immensely helpful to have colleagues sharing their CS experience. There is so much similar to what we are doing. We are not alone in this phase. And now we have fellow practioner to bank on for solutions.,Cross learning,I had opportunity to learn more about the CS experience in ML,,,0.89088726,0.30740738,0.82853717,0.55185187,0.9844125,0.5925926,0.94364506,0.46296299,0.9556355,0.48888886,0.7470024,0.57407403,,0.94364506,0.6481482,0.89568347,0.48888886,0.8381295,0.43333334,0.7182254,0.6888889,0.8405276,0.65555555,0.4352518,0.52592593,,SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 5.0; Lenovo K50a40 Build/LRX21M) AppleWebKit/537.36 (KHTML like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36,,,en
600ab9ed-d305-42a2-95a4-4c509ae158f5,146,7/14/2017,17:16.0,44.044056,44.942196,11.013744,0.33484843,0.3891994,,29.890966,61.127167,8.981865,0.3954545,0.52936125,,40.453236,21.820808,37.725952,0.48636356,0.1889682,,19.73157,42.05203,38.216404,0.59242415,0.36417052,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Negative,Organisational capacity,Procurement (Organisational capacity),Face to face,As a continuous event,Formal,Group,No,Yes,Project not listed,Small projects funded by ML private fund,Nonprofit institution,Manager,,Benin,West Africa,Male,36-60,In the Diocese of Dassa - Benin ML rented a building from Caritas as sub- office for a project funded by USDA with TechnoServe as Prime. The building looks like a rural primary school built to house pilgrims of the nearby Marian center. Thus despite many repairs required by ML for sufficient working conditions the bats that lived in the ceiling never left the electrical under-sizing continued to damage air conditioners that ML bought twice in the same year the site had other buildings that still receiving pilgrims with all the relevant disturbances ... In addition the rent paid was more than double the normal in the locality. ML had conceded this as part of a support to this diocese under construction.After deferring the problem to the Bishop with documented explanations ML wished to have another building from the Diocese. But there was none. Then ML suggested that he could not renew the contract.The Bishop got angry and had a bitter phone call to the CR. So a crisis took place since two months. He did not even want to continue the investigations we engaged to accompany him in developing a business plan for the agricultural exploitation of his 500 hectares of land. Apart from the rent paid regularly ML proposed to compensate the Diocese for induced gap due to the investments. But this does not calm the Bishop who consider what happened as a betrayal.We are overcome the situation but the ashes still hot. So we must rebuild our relationship.What I learned in this 2nd day of PePa2017 in terms of crucial communication in particular is very helpful for this challenge.Thank you.,Relationship emergency attitudes in PCS,The PCS staff should be involve by starting the procurment process,,,0.7853717,0.7074074,0.79016787,0.5074074,0.7853717,0.31851852,0.92206234,0.52592593,0.92206234,0.32222223,0.17386091,0.34074074,,0.63429254,0.7259259,0.76139086,0.5037037,0.94844127,0.6888889,0.941247,0.47777778,0.94844127,0.3111111,0.8333333,0.3111111,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.3; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,,,en
e494ec95-7857-439e-8a89-5ab53b03835f,177,8/24/2017,21:25.0,22.092102,54.505814,23.402082,0.5065499,0.47202033,,10.687352,35.90117,53.411472,0.7136206,0.3109041,,13.82924,64.97093,21.199827,0.5368529,0.5626483,,24.599741,39.389534,36.010727,0.55705494,0.34111336,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Programmatic capacity,Agriculture (Programmatic capacity),Face to face,As a continuous event,Formal,Group,Yes,Yes,ML Internal capacity strengthening,,Nonprofit institution,Technical expert,,Other,USA,Female,36-60,positive,intriguing,I had no prior expectations,,,0.04916067,0.30740738,0.4208633,0.47037035,0.7446043,0.32222223,0.43285373,0.3148148,0.68705034,0.26296294,0.588729,0.41851854,,0.67745805,0.36666667,0.4472422,0.28518516,0.43045563,0.45925927,0.5983213,0.5037037,0.559952,0.2962963,0.44244605,0.60370374,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/60.0.3112.101 Safari/537.36,,,en
80b2f590-a438-468f-8633-437dc9c7983c,183,10/5/2017,04:26.0,35.15882,32.41279,32.42839,0.48634785,0.28069478,,39.88633,21.94768,38.165997,0.49139836,0.19006687,,31.53244,37.645348,30.822214,0.49644887,0.3260087,,31.685125,35.31977,32.995106,0.5065499,0.3058692,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Programmatic capacity,Emergency (Programmatic capacity),Face to face,As a single event,Formal,Group,Yes,Yes,Project not listed,,Nonprofit institution,Officer,,Ethiopia,East Africa,Male,19-35,after i have received the training i have invited our partner to take the course online. and also in discussion with them the partner organized a training for the its staff and as ML i have played a facilitation roll.,facilitation strengthening,staffs are satisfied which was reflected through different appreciation,,,,,,,0.28896883,0.67407405,,,0.5023981,0.6888889,,,,,,0.28657076,0.67407405,0.12829736,0.6814815,,,,,,,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/61.0.3163.100 Safari/537.36,,,en
174b2068-ab6c-47ae-82cd-81de0f884d05,178,8/24/2017,20:59.2,1.5133691,94.65318,3.8334475,0.5116004,0.8196965,,1.2049168,3.3508296,95.44425,0.97119665,0.029018188,,96.9666,2.7365952,0.29680616,0.016651038,0.02369894,,0.6463135,96.3873,2.9663916,0.5116004,0.83471406,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Programmatic capacity,Agriculture (Programmatic capacity),Face to face,As a continuous event,Formal,Group,Yes,No,,,Public sector institution,Other,researcher,Malawi,Southern Africa,Female,36-60,Well it was brief but interesting,interesting,because I didn't have any expectations,,,,,0.44240856,0.23333305,,,,,,,,,,,,,,,,,,,,,,1,SenseMaker New WebCollector; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.3.8 (KHTML like Gecko) Version/10.1.2 Safari/603.3.8,,,en
0776bf03-2d0c-4531-ab60-8bfd9e5be9c7,147,7/14/2017,49:33.8,23.8362,53.034676,23.12912,0.49646458,0.45928034,,22.172161,59.39306,18.434778,0.48131308,0.5143439,,13.688479,17.774567,68.53695,0.77424234,0.15392773,,36.912045,29.913292,33.174664,0.48131308,0.25904912,,CAPACITY BUILDING of both individuals and teams enhances or develops new knowledge skills and attitudes to help improve performance (i.e. trainings workshops e-learning courses on-the-job trainingâ€¦),Positive,Organisational capacity,Capacity Strengthening of Partners (Programmatic capacity),Face to face,As a single event,Formal,Group,Yes,Yes,ML Internal capacity strengthening,,Nonprofit institution,Manager,,Ethiopia,East Africa,Male,36-60,The first to days were highly inspiring. The peaches by the professor and the commitment from HQ to take the PCS looks to me very great. The section on communication and attitude were the most important parts I found for me.,Communication Attitude Selflessness Crucial conversation Relationship Emergency,Becouse I am getting what I lack earlier.,,,0.06834532,0.42962962,0.5455636,0.4851852,0.9172662,0.55185187,0.3705036,0.47407407,0.6822542,0.5074074,0.22182254,0.45185184,,0.68705034,0.44074076,0.89088726,0.6481482,0.89088726,0.4814815,0.5239808,0.58518517,0.69184655,0.6148148,0.5455636,0.4037037,,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.3; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,,,en
