FragmentID,NarrID, SessionStartDate, SessionEndDate, ServerEntryDate,3.0 Example-Working,3.0 Example-Sleeping,3.0 Example-Preparing/consuming food,3.0 Example-X,3.0 Example-Y,3.0 Example-Notapplicable,3.6 You did not act/do something because you…-Feared for your safety,3.6 You did not act/do something because you…-Believed it was not your job/place,3.6 You did not act/do something because you…-Did not know how to help,3.6 You did not act/do something because you…-X,3.6 You did not act/do something because you…-Y,3.6 You did not act/do something because you…-Notapplicable,3.2 You did something because you-Could rely on support of public services,3.2 You did something because you-Felt responsible for dealing with it,3.2 You did something because you-Knew what to do/how to help,3.2 You did something because you-X,3.2 You did something because you-Y,3.2 You did something because you-Notapplicable,3.7 You decided to act/not act the way you did because-You did not have a choice,3.7 You decided to act/not act the way you did because-To you it was the right thing to do,3.7 You decided to act/not act the way you did because-It was an appropriate/acceptable thing to do,3.7 You decided to act/not act the way you did because-X,3.7 You decided to act/not act the way you did because-Y,3.7 You decided to act/not act the way you did because-Notapplicable,3.3 In this situation you…-Did not get personally involved,3.3 In this situation you…-Openly confronted the perpetrator,3.3 In this situation you…-X,3.3 In this situation you…-Notapplicable,3.4 In this situation you…-Acted gradually,3.4 In this situation you…-Acted immediately,3.4 In this situation you…-X,3.4 In this situation you…-Notapplicable,ConsentToParticipate,ConsentToShareStory,2.1 Are you related to/do you know either the victim or the perpetrator?,2.2 How is the victim related to the perpetrator?,2.3 What is the age category of the victim?,2.5 What is the gender of the perpetrator?,2.4 What is the gender of the victim?_Male,2.4 What is the gender of the victim?_Female,2.4 What is the gender of the victim?_Other,2.7 In addition to the victim and perpetrator who witnessed this situation?_Just you,2.7 In addition to the victim and perpetrator who witnessed this situation?_Family member(s) of the victim/perpetrator,2.7 In addition to the victim and perpetrator who witnessed this situation?_Friend(s) of the victim/perpetrator,2.7 In addition to the victim and perpetrator who witnessed this situation?_Acquaintance(s) of the victim/perpetrator,2.7 In addition to the victim and perpetrator who witnessed this situation?_People not known to the victim/perpetrator,2.7 In addition to the victim and perpetrator who witnessed this situation?_Underaged,2.7 In addition to the victim and perpetrator who witnessed this situation?_Neighbours,2.7 In addition to the victim and perpetrator who witnessed this situation?_You do not know,2.6 Where did this situation happen?,2.6 Other,2.8 Where did this situation happen?,3.1 Did you act/do something about this situation?,3.5 Have you contacted any services about this situation?,3.5 Other,4.1 The outcome of this situation for the victim was…,4.2 Situations like these…,5.1 If you were to witness a similar situation in the future you would…,6.5 Education,6.1 Gender,6.2 Age,6.6 Marital status,6.3 Ethnicity,6.3 Other,6.7 Monthly income,6.4 Attendance of religious services,6.8 Region of residence,6.11 Region originally from,6.11 Other,6.9 Residence,6.10 How long have you lived here for?,Experience,1.2 Title,ProjectID,ApplicationName,Latitude,Longitude,Accuracy,Altitude,Bearing,Speed,Time,Language
b09d0a61-d280-465b-9134-1b8da2a7b710,357,,9/5/2019,9/5/2019,7.872744,83.33333,8.793925,0.5046059,0.72166663,,,,,,,,,,,,,1,83.27407,10.8888855,5.8370404,0.11281483,0.09429776,,99.79779,0.2022059,0.002022059,,,,,1,Agree,Agree,"Yes, acquaintance of both",Spouse/partner of the perpetrator,Grown-up,Male,,1,,,1,,1,,,,,Private house,,Urban area,No,"No, you did not know who to contact",,"Neither positive, nor negative",Happen often,Handle it differently,Bachelor or equivalent,Female,25-34,Single,Georgian,,More then 3000 GEL,Not regularly,Tbilisi,Tbilisi,,Urban,1-3 years,ქალი და კაცი ჩხუბობდა. პატაა ვიყავი. კაცმა ქალს ესროლა სკამი.,ქალის და კაცის ჩხუბი,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBCR/GEOCELL]",,,,,,,,ge
a0aec911-3151-41ba-95e2-a34c60227ace,35,,8/29/2019,8/29/2019,,,,,,1,2.8412402,94.888885,2.2698731,0.49714318,0.82173777,,,,,,,1,5.3420653,45.111115,49.54682,0.7210238,0.39066225,,90.974266,9.025736,0.090257354,,,,,1,Agree,Agree,No,Spouse/partner of the perpetrator,Grown-up,Male,,1,,,,,,,,1,,Private house,,Urban area,No,"No, you did not know who to contact",,"Neither positive, nor negative",Happen often,Handle it the same way,Incomplete higher education,Male,18-24,Single,Georgian,,1000-1500 GEL,Not regularly,Tbilisi,Tbilisi,,Urban,More than 5 years,კაცო ყვიროდა და იგინებოდა და ამტვრტევდა რაღაცებს. ხდებოდა უბანში,პრობლემა იყო ოჯახში,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBCR/GEOCELL]",,,,,,,,ge
38c102c8-4baf-46a7-b441-7048fe2c6866,265,,9/3/2019,9/3/2019,34.394855,31.777763,33.82738,0.49716264,0.27519542,,9.24062,10.444444,80.31493,0.85537165,0.090448886,,,,,,,,81.620384,8.222221,10.157392,0.14268503,0.071204446,,,,,,,,,,Agree,Disagree,"Yes, acquaintance of both",Spouse/partner of the perpetrator,Grown-up,Male,1,1,,,1,,,,,,,Private house,,Urban area,No,,,Negative,Happen often,Handle it differently,Bachelor or equivalent,Female,18-24,Single,Georgian,,1500_2000 GEL,Not regularly,Tbilisi,Kvemo kartli,,Urban,More than 5 years,"ჩემი მეზობლის სახლიდან ერთი პერიოდი რეგულარულად ისმოდა ჩხუბის და ყვირილის ხმა. რამოდენიმეჯერ ნივთების მსხვრევის ხმაც გავიგეთ. მამა არის აშკარა პათოლოგი და მოძალადე, ოჯახში არ ინდობს არავის, ცემდა 19 წლის შვილსაც ბიჭს და კიდე პატარა გოგო ყავთ იმასაც. ცოლსაც არ ინდობდა. რამდენჯერმე ვცადე პოლიციის გამოძახება, იმიტომ რომ ძალიან მეცოდებოდნენ ბავშვები, მაგრამ ჩემებმა უფლება არ მომცეს, სხვის საქმეში არ ჩაერიოო. ბოლოს როგორც გაირკვა ბიჭი თვითონ მისულა პოლიციაში დახმარების სათხოვნელად და დაიჭირეს ეს ჩემი მეზობელი.",პათოლოგი მამა მთელ ოჯახზე ფიზიკურად ძალადობს,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 8.1.0; Lenovo TB-X605L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",,,,,,,,ge
f81689d6-ef6f-40c0-8d6b-1e33e36070ac,103,,8/30/2019,8/30/2019,49.59911,26,24.400887,0.37400886,0.22515999,,0.2766251,98.34178,1.3815912,0.5083372,0.8563777,,,,,,,1,0.27498323,59.00702,40.718002,0.70609844,0.51382667,,89.7978,10.202206,0.10202206,,,,,1,Agree,Agree,No,Spouse/partner of the perpetrator,Grown-up,Male,,1,,,,,,,,1,,Private house,,Urban area,No,"No, you did not know who to contact",,"Neither positive, nor negative",Happen often,Handle it the same way,Bachelor or equivalent,Female,25-34,Single,Georgian,,2000-3000 GEL,Regularly,Tbilisi,Shida kartli,,Urban,More than 5 years,12-1 საათისკენ გამომეღვიზა. იყო მეზობლების ოჯახური კონფლიქტი. ახლგაზრდები უნდა ყოფილიყვნენ,ყვირილი,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBCR/GEOCELL]",,,,,,,,ge
bf97e201-1922-4d52-a379-2378e4f55db1,36,,8/29/2019,8/29/2019,,,,,,1,,,,,,1,8.690328,82.44444,8.86523,0.5008745,0.7139689,,31.65882,38,30.34118,0.49341184,0.32908,,3.915441,96.08456,0.9608456,,99.79779,0.2022059,0.002022059,,Agree,Agree,"Yes, acquaintance of both",Spouse/partner of the perpetrator,Grown-up,Male,,1,,,,,,,,1,,Private house,,Urban area,Yes,"No, they would not be helpful",,"Neither positive, nor negative",Happen often,You do not know,Bachelor or equivalent,Female,35-44,Married/living together,Georgian,,More then 3000 GEL,Not regularly,Tbilisi,Tbilisi,,Urban,More than 5 years,კედლის მეზობლები ჩხუბიბდნენ ყოველ საღამოს. ჩემი მეუღლე ჩემს მეგობარს ევხუბებოდაო მოთხრა  და ჩემს მიმართ იყო უარყოფითად განწყობილი,შეცდომა ცუდად დამრცა სინანული,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBCR/GEOCELL]",,,,,,,,ge
baa8f3ff-d129-42ce-8e79-473c13029dc2,37,,8/29/2019,8/29/2019,36.566227,32.666664,30.767107,0.47100443,0.28289333,,,,,,,1,0.7329745,52.77046,46.496574,0.73966104,0.4637911,,2.8475683,97.111115,0.041318357,0.48596874,0.8409822,,0.97426176,99.02574,0.9902574,,95.09191,4.908088,0.049080882,,Agree,Agree,No,Spouse/partner of the perpetrator,Grown-up,Male,,1,,1,,,,,,1,,Other,ქალაქგარეთ,Rural area,Yes,"No, you did not know who to contact",,Positive,Never happen,Handle it the same way,Bachelor or equivalent,Male,18-24,Single,Georgian,,500-1000 GEL,Regularly,Tbilisi,Tbilisi,,Urban,More than 5 years,მე და ჩემი მეგობრები ვიყავით სათევზაოდ წასულები . თევზაობის დროს შევნიშნეთ მესამე ჩემმა მეგობრებმა საეჭვო ხმები რომლებიც მიუთითებდნენ ოჯახურ ძალადობაზე. დავინტერესდით რა ამ ფაქტით და როდესაც მივუახლოვდით მათ დავინახეთ რომ მამაკაცს ყავდა გადმოყვანილი ქალბატონი მანქანიდან და სიტყვიერ შეურაცხყოფას აყენებდა . ამ ფაქტის შემდეგ ვცადეთ მე და ჩემმა მეგობრებმა რომ გაგვეშველებინა მაგრამ მამაკაცმა აგრესია ჩვენზე გადმოიტანა და მისი პოზიცია ის იყო რომ ჩვენი საქმე არ იყო თურქს ეტყოდა იგი საკუთარ ცოლს. ცოლი ამ დროს დუმდა და ცდილობდა სიტუაცია არ გაემწვავებინა . როგორც გაირკვა ცოლ ქმარს ეს კონფლიქტი მოუვიდათ სექსუალური პარტნიორის შეცვლის გამო. მე და ჩემმა მეგობრებმა მივმართეთ ჩვეულ ზომებს და საბოლოოდ ყველაფერმა (იმ მომენტში) მშვიდობიანად ჩაიარა.,სექსუალური სახის ძალადობა,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 8.1.0; Lenovo TB-X605L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Safari/537.36",,,,,,,,ge
1c8db651-c02f-45a0-bf60-4b7b027bc9a3,283,,9/4/2019,9/4/2019,11.857824,31.333336,56.808834,0.7247551,0.27134666,,,,,,,,5.055171,88.22221,6.722612,0.5083372,0.76400447,,5.579219,88.66666,5.754121,0.5008745,0.7678533,,0.97426176,99.02574,0.9902574,,8.621323,91.37868,0.91378677,,Agree,Agree,No,Spouse/partner of the perpetrator,Grown-up,Male,1,1,,1,,,,1,,,,Public space,,Urban area,Yes,"Yes, 112",,Positive,Happen rarely,Handle it the same way,Doctor or equivalent,Female,55 and older,Married/living together,Georgian,,More then 3000 GEL,Never,Tbilisi,Tbilisi,,Urban,More than 5 years,ახალგაზრდა გოგო და ვიწი გააფთრებით ურტყამდა ერთმანეთს და აგინებდნენ ერთმანეთს. მე ვიყავი გამვლელი. ორივე თანაბრად ჩხუბობდა და ძალადობდა. მერე გოგო დაიღალა და ბიჭი მოერია საბოლოოდ. ახალგაზრდები იყვნენ,ორიმხრივი ძალადობდა,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBCR/GEOCELL]",,,,,,,,ge
d5ab01ef-9622-4a5a-a09d-30b90521338d,284,,9/4/2019,9/4/2019,32.60878,33.1111,34.280117,0.5083567,0.2867421,,88.99518,4.6666713,6.33815,0.08671487,0.040413346,,,,,,,1,95.250565,1.1111145,3.638318,0.041938752,0.009622247,,,,,1,,,,1,Agree,Disagree,"Yes, related to the perpetrator",Spouse/partner of the perpetrator,Grown-up,Male,,1,,1,1,,,,,,,Private house,,Urban area,No,"No, you did not know who to contact",,You do not know,Happen often,You do not know,Bachelor or equivalent,Female,35-44,Married/living together,Georgian,,500-1000 GEL,Not regularly,Tbilisi,Tbilisi,,Urban,More than 5 years,სამსახურიდან დაბრუნებული ჩემი მეუღლე ძალიან აგრესიულია. ცდილობს რომ თავისი აგრესია ოჯახის სხვა წევრებსაც გადმოიტანა. ვფიქრობ რომ ნეგატიურ ემოციას იწვევს ჩვენში ეს ყველაფერს და აქედან გამომდინარე ვფიქრობ რომ ის ჩვენზე ემოციურად ძალადობა.,ემოციური ძალადობა,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 8.1.0; Lenovo TB-X605L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Safari/537.36",,,,,,,,ge
e9902847-faee-4068-8143-63bc4eb098f1,358,,9/5/2019,9/5/2019,68.447525,16.666672,14.885802,0.2321914,0.14433335,,,,,,,,13.954997,72.666664,13.378337,0.4971167,0.6292933,,11.137423,77.55556,11.307021,0.500848,0.6716311,,13.327223,86.672775,0.86672777,,76.856636,23.143364,0.23143364,,Agree,Agree,"Yes, related to both",Spouse/partner of the perpetrator,Grown-up,Male,,1,,1,1,,,,,,,Private house,,Rural area,Yes,Other,"ვარჩიე, რომ არ გამომეძახა პოლიციისთვის, რადგან მსგავსი რამ ხშირად მომხდარა, მაგრამ მიუხედავად ამისა, მსხვერპლი ყოველ ჯერზე ირჩევდა ოჯახში დარჩენას. თვითონ მას არ ჰქონია სურვილი, რაიმე უწყება ჩარეულიყო აღნიშნულ სიტუაციაში",Negative,Happen often,Handle it differently,Bachelor or equivalent,Female,25-34,Single,Georgian,,500-1000 GEL,Never,Kakheti,Kakheti,,Rural,More than 5 years,"მე გაგიზიარებთ ისტორიას, რომელიც გადახდა ბიძას და ბიცოლას.. ბიძაჩემს პათოლოგიური სიმთვრალე აქვს მოყოლებული ახალგაზრდობიდან. როცა სვამს, აბსოლუტურად სხვა ადამიანი ხდება. შეუძლია, უმიზეზოდ დაიწყოს კამათი, რომელშიც ისე შეგიყოლიებს, ვერც კი მიხვდები. ერთ დღესაც, როცა მთვრალი იყო, ბიცოლაჩემთან კამათი გადაიზარდა სერიოზულ ჩხუბში, ამ მომენტში მეც მათთან ვიყავი და კიდევ ჩემი ბიძაშვილი, რომელიც ზრდასრული და წარმატებული ბიჭია. ბიძაჩემმა გინების და ნივთების მტვრევის მერე, მეუღლეზეც გაიწია დასარტყმელად, ჩვენ ვერ მოვასწარით მისთვის ხელის შეშლა. ჩემი ბიძაშილი ამის მერე დედის დასაცავად ჩაერია მათ ჩხუბში და მამამისზე გაიწია. ამ მომენტში მე იძულებული გავხდი, ჩავრთულიყავი ხელჩართულ ჩხუბში. დიდი გაჭირვებით მოვახერხეთ, რომ სიტუაცია ოდნავ განგვემუხტა, თუმცა ეს ამბავი რამდენიმე საათის განმავლობაში ვერ დამთავრდა.. ბოლოს, როგორც აქამდე არაერთხელ, ბიძაჩემმა დაიძინა და ჩვენ რა თქმა უნდა, ღამე თეთრად გავათენეთ. მეორე დღეს, ბიცოლაჩემი და ჩემი ბიძაშვილი სახლიდან დროებით წავიდნენ თბილისში და 2-3 კვირის განმავლობაში არ ჰქონიათ კონტაქტი ერთმანეთთან.",პათოლოგიური სიმთვრალის გამო მეუღლის მიმართ ფიზიკური და სიტყვიერი შეურაცხყოფა/ოჯახური ძალადობა,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",,,,,,,,ge
982009e6-38fa-41a1-a1b2-8f513ad32e43,359,,9/5/2019,9/5/2019,31.552406,29.999992,38.447605,0.534476,0.25979996,,9.307528,7.333336,83.35913,0.87025803,0.063506655,,,,,,,,10.855356,81.111115,8.03353,0.48589087,0.7024222,,,,,,,,,,Agree,Disagree,"Yes, acquaintance of both",Spouse/partner of the perpetrator,Grown-up,Male,,1,,,1,1,1,,,,,Private house,,Urban area,No,,,Negative,Happen all the time,You do not know,Bachelor or equivalent,Female,45-54,Single,Georgian,,More then 3000 GEL,Regularly,Tbilisi,Samegrelo-Zemo Svaneti,,Urban,More than 5 years,"ჩემი მეგობრის ოჯახში მამა არის ტიპიური ქართველი დომინანტი კაცი, მთელი ოჯახი მას ემსახურება. ცოლი დასვა სახლში, მუშაობის უფლებას არ აძლევდა, შარვალს არ აცილებდა. ქალი 65 წლისაა და შარშან მითხრა, ეს რა გავბედე, შარვალი ჩავიცვი პირველად ცხოვრებაშიო. კაციც დაბერდა და მათრახი ცოტა მოუსუსტდა, არ გამოვრიცხავ რომ ახალგაზრდობაში ფიზიკურადაც ძალადობდა. ერXელ შევესწარი, ცოლს ეძახდა და ამან ვერ გაიგონა და გამოვიდა უთხრა  ეხლა რომ X აქ არის მაგან გადაგვარჩინა თორემ ხომ იცი რაც მოგივიფოდა. დასასვენებლადაც არ უშვებს ამ ქალს, ძალიან დანევროზებული ყავს",ფსიქოლოგიური ძალადობაა როცა მსხვერპლი ვერ აცნობიერებს რომ ძალადობენ მასზე,undp_ipv_ge,"SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 8.1.0; Lenovo TB-X605L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",,,,,,,,ge
